comuna;lat;lon
Alto Bio Bio;-37,9726;-71,3473
Ancud;-41,8707;-73,81622
Angol;-37,79519;-72,71636
Antuco;-37,33007;-71,67467
Arauco;-37,2463;-73,31752
Aysen;-454.068;-726.977
Bulnes;-36,74232;-72,29854
Cabrero;-37,03394;-72,40468
Calbuco;-41,77338;-73,13049
Carahue;-38,71122;-73,16101
Castro;-42,4663;-73,7704
Cañete;-37,83;-73,3671
Chaiten;-42,91596;-72,70632
Chile Chico;-46,541;-71,72375
Cholchol;-38,60183;-72,84572
Chonchi;-42,62387;-73,775
Cochamo;-41,49752;-72,30789
Cochrane;-47,2557;-72,5695
Collipulli;-37,95453;-72,43438
Contulmo;-38,01556;-73,22991
Coronel;-37,03386;-73,14019
Corral;-39,8873;-73,43101
Coyhaique;-45,57524;-72,06619
Cunco;-38,93181;-72,03151
Curacautin;-38,44064;-71,88923
Curaco De Velez;-42,43888;-73,60119
Curanilahue;-37,47793;-73,34495
Curarrehue;-39,36019;-71,58748
Dalcahue;-42,37845;-73,65011
El Carmen;-37,6982;-71,7692
Ercilla;-38,06323;-72,37425
Florida;-36,8354;-72,682
Freire;-38,95252;-72,62653
Fresia;-41,15364;-73,42102
Frutillar;-38,18831;-72,24403
Frutillar;-41,1211;-73,0508
Futaleufu;-43,18492;-71,86722
Futrono;-40,1295;-72,38536
Galvarino;-38,41359;-72,78151
Gorbea;-39,10164;-72,67602
Hualaihue;-42,01669;-72,68608
Hualqui;-36,97266;-72,93559
La Union;-40,29313;-73,08167
La Union;-40,29313;-73,08167
Lago Ranco;-40,32272;-72,48049
Lago Verde;-44,24031;-71,8495
Laja;-37,28415;-72,71105
Lanco;-39,45246;-72,77117
Lautaro;-38,53066;-72,43652
Lebu;-37,60825;-73,65356
Llanquihue;-41,25603;-73,00649
Loncoche;-39,36708;-72,63087
Lonquimay;-38,45389;-71,37049
Los Alamos;-37,6267;-73,497
Los Angeles;-37,46973;-72,35366
Los Lagos;-39,8613;-72,8137
Los Muermos;-41,39556;-73,46237
Los Sauces;-37,98119;-72,83393
Lota;-37,08994;-73,1577
Lumaco;-38,16485;-72,90551
Mariquina;-39,5275;-73,0236
Maullin;-41,61778;-73,59833
Melipeuco;-38,85243;-71,69334
Mulchen;-37,71893;-72,24099
Mafil;-39,665;-72,95159
Nacimiento;-37,50253;-72,67307
Negrete;-37,58668;-72,52833
Nueva Imperial;-38,74451;-72,95025
Ohiggins;-48,454;-72,574
Osorno;-40,57395;-73,13348
Padre Las Casas;-38,7728;-72,586
Paillaco;-40,06822;-72,87935
Palena;-43,61876;-71,80434
Panguipulli;-39,64355;-72,33269
Pemuco;-36,97792;-72,09611
Perquenco;-38,42178;-72,3773
Pinto;-36,8263;-71,6815
Pitrufquen;-38,98635;-72,63721
Pucon;-39,28223;-71,95427
Puerto Cisnes;-44,74736;-72,69695
Puerto Montt;-41,4693;-72,94237
Puerto Octay;-40,97444;-72,8834
Puerto Varas;-41,31946;-72,98538
Puqueldon;-42,60001;-73,67458
Puren;-38,0334;-73,07145
Purranque;-40,91305;-73,15913
Puyehue;-40,65944;-72,60172
Queilen;-42,88905;-73,47416
Quellon;-43,11819;-73,61661
Quemchi;-42,15;-73,48333
Quilaco;-37,68371;-71,99948
Quilleco;-37,47023;-71,98157
Quillon;-36,74553;-72,47481
Quinchao;-42,53578;-73,42702
Ranquil;-36,65381;-72,56042
Renaico;-37,67141;-72,58412
Rio Bueno;-40,33494;-72,95564
Rio Negro;-40,8043;-73,1999
Rio Bueno;-40,33494;-72,95564
Rio Ibañez;-46,2271;-72,8027
Rio Negro;-40,8043;-73,1999
Saavedra;-38,7908;-73,3927
San Ignacio;-36,8068;-72,0201
San Juan De La Costa;-40,52473;-73,39223
San Pablo;-36,9638;-72,8093
San Rosendo;-37,26393;-72,72397
Santa Barbara;-37,6657;-71,992
Santa Juana;-37,1987;-72,9369
Temuco;-38,73965;-72,59842
Teodoro Schmidt;-38,99442;-73,08927
Tirua;-38,34179;-73,49149
Tolten;-39,20755;-73,20987
Tolten;-39,20755;-73,20987
Tome;-36,61756;-72,95593
Traiguen;-38,2496;-72,67027
Tucapel;-37,29079;-71,94929
Valdivia;-39,81422;-73,24589
Victoria;-38,2383;-72,3315
Vilcun;-38,66875;-72,22565
Villarrica;-39,28569;-72,2279
Yumbel;-37,0982;-72,56084
Yungay;-37,11977;-72,01984
