fecha;hora;datatime;recibidos;contestados;abandonados;tmo (segundos);hora numero;dia de semana;fin de semana;mes;temporada;feriados;Horario laboral tipico
01-01-2023;0:00:00;01-01-2023 0:00;54;51;3;260;0;6;1;1;1;1;0
01-01-2023;1:00:00;01-01-2023 1:00;32;30;2;260;1;6;1;1;1;1;0
01-01-2023;2:00:00;01-01-2023 2:00;22;21;1;315;2;6;1;1;1;1;0
01-01-2023;3:00:00;01-01-2023 3:00;9;9;0;262;3;6;1;1;1;1;0
01-01-2023;4:00:00;01-01-2023 4:00;7;7;0;291;4;6;1;1;1;1;0
01-01-2023;5:00:00;01-01-2023 5:00;2;2;0;366;5;6;1;1;1;1;0
01-01-2023;6:00:00;01-01-2023 6:00;6;6;0;375;6;6;1;1;1;1;0
01-01-2023;7:00:00;01-01-2023 7:00;18;17;1;252;7;6;1;1;1;1;0
01-01-2023;8:00:00;01-01-2023 8:00;35;34;1;284;8;6;1;1;1;1;1
01-01-2023;9:00:00;01-01-2023 9:00;52;51;1;325;9;6;1;1;1;1;1
01-01-2023;10:00:00;01-01-2023 10:00;101;81;20;262;10;6;1;1;1;1;1
01-01-2023;11:00:00;01-01-2023 11:00;107;86;21;290;11;6;1;1;1;1;1
01-01-2023;12:00:00;01-01-2023 12:00;86;84;2;310;12;6;1;1;1;1;1
01-01-2023;13:00:00;01-01-2023 13:00;92;88;4;340;13;6;1;1;1;1;1
01-01-2023;14:00:00;01-01-2023 14:00;66;65;1;331;14;6;1;1;1;1;1
01-01-2023;15:00:00;01-01-2023 15:00;81;79;2;258;15;6;1;1;1;1;1
01-01-2023;16:00:00;01-01-2023 16:00;57;55;2;297;16;6;1;1;1;1;1
01-01-2023;17:00:00;01-01-2023 17:00;57;56;1;302;17;6;1;1;1;1;1
01-01-2023;18:00:00;01-01-2023 18:00;62;62;0;327;18;6;1;1;1;1;0
01-01-2023;19:00:00;01-01-2023 19:00;58;58;0;274;19;6;1;1;1;1;0
01-01-2023;20:00:00;01-01-2023 20:00;62;62;0;284;20;6;1;1;1;1;0
01-01-2023;21:00:00;01-01-2023 21:00;99;99;0;287;21;6;1;1;1;1;0
01-01-2023;22:00:00;01-01-2023 22:00;66;65;1;321;22;6;1;1;1;1;0
01-01-2023;23:00:00;01-01-2023 23:00;22;22;0;264;23;6;1;1;1;1;0
02-01-2023;0:00:00;02-01-2023 0:00;25;11;14;272;0;0;0;1;1;1;0
02-01-2023;1:00:00;02-01-2023 1:00;1;1;0;332;1;0;0;1;1;1;0
02-01-2023;2:00:00;02-01-2023 2:00;3;3;0;276;2;0;0;1;1;1;0
02-01-2023;3:00:00;02-01-2023 3:00;2;2;0;157;3;0;0;1;1;1;0
02-01-2023;4:00:00;02-01-2023 4:00;1;1;0;209;4;0;0;1;1;1;0
