date,pred_llamadas
2025-07-27,23
2025-07-28,1115
2025-07-29,1039
2025-07-30,1098
2025-07-31,1054
2025-08-01,880
2025-08-02,678
2025-08-03,837
2025-08-04,1175
2025-08-05,1299
2025-08-06,1330
2025-08-07,1191
2025-08-08,967
2025-08-09,714
2025-08-10,841
2025-08-11,1162
2025-08-12,1289
2025-08-13,1319
2025-08-14,1190
2025-08-15,515
2025-08-16,713
2025-08-17,841
2025-08-18,1164
2025-08-19,1290
2025-08-20,1319
2025-08-21,1190
2025-08-22,967
2025-08-23,713
2025-08-24,841
2025-08-25,1164
2025-08-26,1289
2025-08-27,1319
2025-08-28,1190
2025-08-29,967
2025-08-30,713
2025-08-31,841
2025-09-01,1164
2025-09-02,1289
2025-09-03,1319
2025-09-04,1190
2025-09-05,967
2025-09-06,713
2025-09-07,848
2025-09-08,1148
2025-09-09,1269
2025-09-10,1316
2025-09-11,1188
2025-09-12,966
2025-09-13,713
2025-09-14,841
2025-09-15,1165
2025-09-16,1290
2025-09-17,1321
2025-09-18,627
2025-09-19,515
2025-09-20,713
2025-09-21,841
2025-09-22,1164
2025-09-23,1289
2025-09-24,1319
2025-09-25,1190
2025-09-26,967
2025-09-27,713
2025-09-28,841
2025-09-29,1164
2025-09-30,1289
2025-10-01,1319
2025-10-02,1190
2025-10-03,967
2025-10-04,713
2025-10-05,841
2025-10-06,1164
2025-10-07,1289
2025-10-08,1319
2025-10-09,1190
2025-10-10,967
2025-10-11,713
2025-10-12,841
2025-10-13,1164
2025-10-14,1289
2025-10-15,1319
2025-10-16,1190
2025-10-17,967
2025-10-18,713
2025-10-19,841
2025-10-20,1164
2025-10-21,1289
2025-10-22,1319
2025-10-23,1190
2025-10-24,967
2025-10-25,713
2025-10-26,841
2025-10-27,1164
2025-10-28,1289
2025-10-29,1319
2025-10-30,1190
2025-10-31,967
2025-11-01,713
2025-11-02,841
2025-11-03,1164
2025-11-04,1289
2025-11-05,1319
2025-11-06,1190
2025-11-07,967
2025-11-08,713
2025-11-09,841
2025-11-10,1164
2025-11-11,1289
2025-11-12,1319
2025-11-13,1190
2025-11-14,967
2025-11-15,713
2025-11-16,841
2025-11-17,1164
2025-11-18,1289
2025-11-19,1319
2025-11-20,1190
2025-11-21,967
2025-11-22,713
2025-11-23,841
2025-11-24,1164
